symbol,interval,start,end,method,param,final_balance,return_pct,max_drawdown,win_rate,total_trades,profit_factor,sharpe
BTCUSDT,1mto5m,20250101,20251201,fixed,400,34590.26771705893,2.459026771705893,0.19576706715360098,0.3787610619469027,1130,1.4078134312732915,
BTCUSDT,1m,20250101,20251201,fixed,450,11575.583102967483,0.15755831029674827,0.3594156820068075,0.33595113438045376,1146,1.1229661056458298,
BTCUSDT,1mto5m,20250101,20251201,fixed,450,42090.740690056955,3.2090740690056956,0.1700964228840337,0.38169642857142855,896,1.4932391194921035,
BTCUSDT,1m,20250101,20251201,fixed,500,10949.884530507348,0.09498845305073482,0.2871103133851608,0.3291139240506329,948,1.1043592824487811,
BTCUSDT,1mto5m,20250101,20251201,fixed,500,37069.362987497996,2.7069362987498,0.13344168331725245,0.3662162162162162,740,1.4913784263177248,
BTCUSDT,1m,20250101,20251201,percentage,0.003,16960.57.1026095937,7.48251026095937,0.10610602541860824,0.42105263157894735,570,1.928686388758036,
BTCUSDT,1m,20250101,20251201,atr,"(14, 1.5)",0.07172891987819306,-0.9999928271080122,0.9999994651656509,0.4159418408412307,77030,1.9907903428808191,
BTCUSDT,1mto5m,20250101,20251201,atr,"(14, 1.5)",2893394.958155173,288.3394958155173,0.10945513178474768,0.45249572383766135,6431,2.0864997753029173,
BTCUSDT,1m,20250101,20251201,atr,"(14, 2.0)",2.4470082087324965,-0.9997552991791269,0.9999789737517452,0.41122345803842264,59340,1.828854357391893,
BTCUSDT,1mto5m,20250101,20251201,atr,"(14, 2.0)",761314.1740334353,75.13141740334353,0.12927762071876261,0.4286368843069874,4365,1.8612520610888017,
BTCUSDT,1m,20250101,20251201,atr,"(14, 2.5)",24.625320575539174,-0.9975374679424461,0.9997587218434947,0.413793834541831,47166,1.7133757453423812,
BTCUSDT,1mto5m,20250101,20251201,atr,"(14, 2.5)",398091.93179593503,38.8091931795935,0.07608915398896482,0.41396988144825375,3121,1.8162941867254614,
BTCUSDT,1m,20250101,20251201,fixed,50,319.8015837863982,-0.9680198416213601,0.9968663368406373,0.39017920135459294,35435,1.6105859158150373,
BTCUSDT,1mto5m,20250101,20251201,fixed,50,14658177792524546515,0.6960572524546514,0.3092872822801638,0.35040530582166546,2714,1.2155279671989867,
